event_location_district,lat,lon
Jenin,32.4687895,35.2967561
Tulkarm,32.3190901,35.0475685
Jericho,31.8707563,35.4393749
Gaza,31.500687964313716, 34.453011181453675
Hebron,31.5251263,35.1020631
Tubas, 32.3210552,35.3689104
Ramallah and al-Bira,31.8964613,35.207204
East Jerusalem, 32.850693,35.182783
Nablus,32.2127027,35.2971443
Israel,32.1091657,34.8111176
al-Quds,31.7685263,35.2136549
Bethlehem, 31.707205462962, 35.20475961477855
Khan Yunis, 31.3443293,34.3095897
Deir al-Balah, 31.4183455,34.3502476
North Gaza, 31.524485091816683, 34.442909618250674
Rafah, 31.298097990328465, 34.246485758866825
Qalqiliya, 32.196542291111534, 34.98207863239712
Salfit,32.0820676,35.1770736
Gaza Strip, 31.41213379001181, 34.362902994942814
Gush Katif, 31.477896,34.925403
